title,tag_stem
Criminal,action lionsgate benderspink millennium films fipex holding campbell grobman films criminal productions bill pope agent mission london tracking shadowy hacker nicknamed dutchman gets mysteriously ambushed killed experimental procedure used transfer memories dangerous exconvict jericho stewart wakes agents memories mission find dutchman eliminate hacker launches icbms starts world complications soon arise mission turns personal
Fantastic Beasts and Where to Find Them,fantastic beasts collection adventure family fantasy heyday films warner bros newt scamander arrives magical congress united states america magically expanded briefcase houses number dangerous creatures habitats creatures escape briefcase sends american wizarding authorities newt threatens strain even state magical nonmagical relations
The Fundamentals of Caring,comedy drama levantine entertainment suffered tragedy becomes caregiver earn money first client trevor hilarious yearold muscular dystrophy paralyzed emotionally paralyzed physically trevor road trip western states folks collect along help test skills surviving outside calculated existence together come understand importance hope necessity true friendship
Deadpool,deadpool collection action adventure comedy twentieth century film corporation marvel entertainment donners company entertainment kinberg genre deadpool tells origin story former special forces operative turned mercenary wade wilson subjected rogue experiment leaves accelerated healing powers adopts alter deadpool armed abilities dark twisted sense humor deadpool hunts nearly destroyed life
Warcraft,action adventure fantasy universal pictures atlas entertainment legendary pictures blizzard entertainment peaceful realm azeroth stands brink civilization faces fearsome race invaders warriors fleeing dying home colonize another portal opens connect worlds army faces destruction faces extinction opposing sides heroes collision course decide fate family people home
Ben-Hur,adventure drama action paramount pictures metrogoldwynmayer sean daniel company lightworkers media falsely accused nobleman survives years slavery take vengeance best friend betrayed
Triple 9,action thriller worldview entertainment anonymous content madriver pictures sierra pictures surefire capital gang criminals corrupt cops plan murder police officer order pull biggest heist across town
Me Before You,drama romance line cinema sunswept entertainment metrogoldwynmayer small town girl caught deadend jobs highprofile successful becomes wheelchair bound following accident decides life worth living girl hired months caretaker worlds apart trapped together circumstance rocky start girl becomes determined prove life worth living embark series adventures together finds world changing ways neither could begin imagine
The Finest Hours,action drama history thriller walt disney pictures whitaker entertainment bergsten music hawk entertainment coast guard makes daring rescue attempt coast cape pair tankers destroyed blizzard
Dirty Grandpa,comedy lionsgate josephson entertainment international ninjas runnin wild productions covert media billblock media jason kelly week away marrying bosss ubercontrolling daughter putting fast track partnership firm however straightlaced jason tricked driving foulmouthed grandfather dick daytona spring break pending nuptials suddenly jeopardy riotous frat parties fights epic night karaoke dick quest live life fullest bring jason along ride
Risen,action columbia pictures affirm films entertainment patrick aiello productions follows epic biblical story resurrection told eyes nonbeliever clavius powerful roman military tribune aide lucius tasked solving mystery happened jesus weeks following crucifixion order disprove rumors risen messiah prevent uprising jerusalem
The Boy,horror mystery thriller lakeshore entertainment vertigo entertainment diamond films showtime networks entertainment nanny working family whose passed away finds charge caring lifelike doll couple treat real child
Eddie the Eagle,comedy drama history studio babelsberg twentieth century film corporation marv films saville productions inspired true events eddie eagle feelgood story michael eddie edwards taron egerton unlikely courageous british skijumper never stopped believing even entire nation counting help rebellious charismatic coach played hugh jackman eddie takes establishment wins hearts sports fans around world making improbable historic showing calgary winter olympics
Ride Along 2,ride along collection action comedy universal pictures cube vision packer productions reel chefs catering wedding approaches heads miami soontobe brotherinlaw james bring drug dealer whos supplying dealers atlanta product
The Forest,horror thriller lava bear films aifilm phantom four films aokigahara forest reallife place japan people lives backdrop young american woman comes search twin sister mysteriously disappeared
Quo vado?,comedy checco lived entire life parents loves nothing something happens change behavior maybe life
Pride and Prejudice and Zombies,romance horror comedy thriller lionsgate handsomecharlie films cross creek pictures darko entertainment panorama media entertainment zombie outbreak fallen upon land reimagining jane austen classic tale tangled relationships lovers different social classes century england feisty heroine elizabeth bennet lily james master martial arts weaponry handsome darcy riley fierce zombie killer epitome upper class prejudice zombie outbreak intensifies must swallow pride join forces bloodsoaked battlefield order conquer undead
Kung Fu Panda 3,kung panda collection action adventure animation comedy family twentieth century film corporation dreamworks animation china film oriental dreamworks continuing legendary adventures awesomeness must face hugely epic different threats supernatural little closer home
Nocturnal Animals,drama thriller universal pictures artina films fade black productions focus features susan morrow receives book manuscript exhusband left years earlier asking opinion writing reads drawn fictional life tony hastings mathematics professor whose family vacation turns violent
Fifty Shades of Black,romance comedy open road films inexperienced college student meets wealthy businessman whose sexual practices strain relationship
How to Be Single,comedy romance line cinema flower films metrogoldwynmayer pictures york city full lonely hearts seeking right match alice robin lucy david common need learn single world filled everevolving definitions love
Zoolander 2,zoolander collection comedy scott rudin productions hour films derek hansel modelling opposing company attempts take business
The 5th Wave,adventure science fiction columbia pictures films material pictures lstar capital yearold cassie sullivan tries survive world devastated waves alien invasion already decimated population knocked mankind back stone
